instance_id,group,group_label,axis,axis_value,cell_size_m,nx,ny,nz,n_voxels,n_passable,n_zones,n_sublevels,n_families,reference_type,reference_cost,reference_cost_buildable,best_topology,lower_bound,lower_bound_method,gap_to_lower_bound,lower_bound_raw,gap_to_lower_bound_raw,reference_cost_constrained,lower_bound_constrained,lower_bound_method_constrained,gap_to_lower_bound_constrained,reference_cost_total,lower_bound_total,gap_to_lower_bound_total,grid_sha256,seed
portal-south,portal_sweep,Portal sweep,portal_site,south,5.0,126,82,100,1033200,914913,4,4,12,best_known,2819663.9297,7930198.3549,chained_fan,2307299.0084,pairwise_divergence,0.222063,2307299.0084,0.222063,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,20691907.1066,13470463.224327035,0.536095,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
portal-north,portal_sweep,Portal sweep,portal_site,north,5.0,126,82,100,1033200,914913,4,4,12,best_known,2822644.2109,8547673.1507,chained_fan,2306028.9889,pairwise_divergence,0.224028,2306028.9889,0.224028,8547673.1507,3542328.3734941375,geometric_grade_floor,1.41301,21794508.1002,13867731.201363118,0.571599,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
portal-east,portal_sweep,Portal sweep,portal_site,east,5.0,126,82,100,1033200,914913,4,4,12,best_known,3538916.5859,9688925.337,chained_fan,2895858.9479,pairwise_divergence,0.222061,2895858.9479,0.222061,9688925.337,4401074.645856353,geometric_grade_floor,1.201491,26773692.8472,18634946.925796133,0.436746,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
portal-west,portal_sweep,Portal sweep,portal_site,west,5.0,126,82,100,1033200,914913,4,4,12,best_known,3420724.3984,10342807.7356,chained_fan,2907514.1106,pairwise_divergence,0.176512,2907514.1106,0.176512,10342807.7356,4544199.024583389,geometric_grade_floor,1.276046,27870116.3339,19429482.8798683,0.434424,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-02,zone_count,Zone count,n_zones,2,5.0,126,82,100,1033200,914913,2,2,9,best_known,2366242.75,7848510.9115,single_junction,2307299.0084,pairwise_divergence,0.025547,2307299.0084,0.025547,7848510.9115,3470766.18413062,geometric_grade_floor,1.261319,15592335.4758,9100065.838658014,0.713431,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-04,zone_count,Zone count,n_zones,4,5.0,126,82,100,1033200,914913,4,4,12,best_known,2819663.9297,7930198.3549,chained_fan,2307299.0084,pairwise_divergence,0.222063,2307299.0084,0.222063,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,20691907.1066,13470463.224327035,0.536095,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-06,zone_count,Zone count,n_zones,6,5.0,126,82,100,1033200,914913,6,4,12,best_known,4112725.7109,9319465.4353,chained_fan,2588658.2181,pairwise_divergence,0.588748,2588658.2181,0.588748,9319465.4353,3470766.18413062,geometric_grade_floor,1.685132,24189910.1823,15514438.329945158,0.559187,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-08,zone_count,Zone count,n_zones,8,5.0,126,82,100,1033200,914913,8,4,12,best_known,5703318.3633,11087907.9483,chained_fan,3008454.8508,pairwise_divergence,0.895763,3008454.8508,0.895763,11087907.9483,3470766.18413062,geometric_grade_floor,2.194657,31099205.1923,20251144.59946971,0.535676,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
scale-130k,scale_ladder,Scale ladder,cell_size_m,10.0,10.0,63,41,50,129150,114358,4,4,12,best_known,2836435.3438,8669588.149,chained_fan,2171828.8547,pairwise_divergence,0.306012,2171828.8547,0.306012,,3434985.0894488613,geometric_grade_floor,,,13271829.235808996,,sha256:4f594398106a8821eaf6b28b47e89c282d8742f8a71bcdb2dc6472e277219846,42202
scale-1m,scale_ladder,Scale ladder,cell_size_m,5.0,5.0,126,82,100,1033200,914913,4,4,12,best_known,2819663.9297,7930198.3549,chained_fan,2307299.0084,pairwise_divergence,0.222063,2307299.0084,0.222063,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,20691907.1066,13470463.224327035,0.536095,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
scale-8m,scale_ladder,Scale ladder,cell_size_m,2.5,2.5,252,164,200,8265600,7319376,4,4,12,unsolved,,,,0.0,none,,0.0,,,3452875.6367897405,geometric_grade_floor,,,13371146.230068015,,sha256:a24fe8c979f80d7ca5fbdb9713a17c072d880948d1a1750f306671d1df3dddb2,42202
scale-129m,scale_ladder,Scale ladder,cell_size_m,1.0,1.0,630,410,500,129150000,114365849,4,4,12,unsolved,,,,0.0,none,,0.0,,,3470766.18413062,geometric_grade_floor,,,13470463.224327035,,sha256:b6806c7be69e8273225e3486fa72c3098f2ba4b734acb883c6b976f9232dedc8,42202
haul-t05,haulage_ratio,Haulage ratio,tonnage_scale,0.5,5.0,126,82,100,1033200,914913,4,4,12,best_known,2261012.4375,3661890.0336,single_junction,1433027.1497,pairwise_divergence,0.577788,1433027.1497,0.577788,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,9941024.1803,5100859.560086803,0.948892,sha256:55468d251e37ca8612e0f6d4cb8760270ebfe116af927515651db26f6e33c42d,42000
haul-t10,haulage_ratio,Haulage ratio,tonnage_scale,1.0,5.0,126,82,100,1033200,914913,4,4,12,best_known,2261012.4375,3661890.0336,single_junction,1433027.1497,pairwise_divergence,0.577788,1433027.1497,0.577788,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,14177851.8913,8505630.933998622,0.666878,sha256:55468d251e37ca8612e0f6d4cb8760270ebfe116af927515651db26f6e33c42d,42000
haul-t20,haulage_ratio,Haulage ratio,tonnage_scale,2.0,5.0,126,82,100,1033200,914913,4,4,12,best_known,2261012.4375,3661890.0336,single_junction,1433027.1497,pairwise_divergence,0.577788,1433027.1497,0.577788,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,22356751.2799,15315173.681822265,0.459778,sha256:55468d251e37ca8612e0f6d4cb8760270ebfe116af927515651db26f6e33c42d,42000
haul-t40,haulage_ratio,Haulage ratio,tonnage_scale,4.0,5.0,126,82,100,1033200,914913,4,4,12,best_known,2261012.4375,3661890.0336,single_junction,1433027.1497,pairwise_divergence,0.577788,1433027.1497,0.577788,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,38409953.2659,28934259.17746955,0.32749,sha256:55468d251e37ca8612e0f6d4cb8760270ebfe116af927515651db26f6e33c42d,42000
